id,sentence,verb,xcomp,level,sub
18809,Vabal ajal armastan rulluiskudega sõita ja suvel ujuda.,armastama,sõitma,kl7,ajal armastan sõita .
18829,Tahab oma tervist rikkuda - rikkugu!,tahtma,rikkuma,kl7,Tahab rikkuda !
18844,"Klass koos klassijuhatajaga kirjutavad alla lepingule, kus lubavad vähemalt võistluse perioodil tubakatooteid mitte kasutada.",lubama,kasutama,kl7,", kus lubavad kasutada"
18870,"Loodan väga, et ussitanud seenel ja puhtal seenel ikka oskad vahet teha?",oskama,tegema,kl7,", et seenel ikka oskad teha"
18909,Tahad rohuteadlaseks saada?,tahtma,saama,kl7,Tahad saada ?
18913,"Nüüd tahan teada, missuguseid taimi ja millal korjata ning kuidas kuivatada.",tahtma,teadma,kl7,Nüüd tahan teada .
18991,"Miks tahab Pierrot täpselt teada, mis kell suvi algab?",tahtma,teadma,kl8,Miks tahab Pierrot teada ?
18994,"Kas teie oskate öelda, kummalt poolt suvi tuleb?",oskama,ütlema,kl8,Kas teie oskate öelda ?
19002,"Ja loodan, et te saite kõik suvelt võtta, mis võtta andis.",saama,võtma,kl8,", et te saite võtta"
19003,"Saite käia ujumas, vanaema-vanaisa juures maal, saite süüa jäätist, puhata, päikest võtta, noh, nagu ikka suvel tehakse.",saama,käima,kl8,Saite käia saite tehakse .
19003,"Saite käia ujumas, vanaema-vanaisa juures maal, saite süüa jäätist, puhata, päikest võtta, noh, nagu ikka suvel tehakse.",saama,sööma,kl8,", saite süüa"
19064,Millisel aastaajal eelistab teie pere puhata?,eelistama,puhkama,kl8,aastaajal eelistab teie puhata ?
19116,Metsas ei tohigi asfalti olla.,tohtima,olema,kl8,Metsas ei tohigi asfalti olla .
19198,Millist sporti tahab Artemon metsas harrastama hakata?,tahtma,hakkama,kl8,sporti tahab hakata ?
19199,Mida Artemon tahab metsa kaasa võtta ja mida tema sõbrad sellest arvavad?,tahtma,võtma,kl8,Mida Artemon tahab võtta ?
19202,Millal tahab Buratino sõpradega reisi alustada?,tahtma,alustama,kl8,Millal tahab alustada ?
19206,Kuhu Buratino tahab sõpradega Eestis sõita?,tahtma,sõitma,kl8,Kuhu Buratino tahab sõita ?
19216,"Artemon tahtis rula kaasa võtta, et saaks metsas ekstreemsporti harrastada.",tahtma,võtma,kl8,Artemon tahtis võtta harrastada .
19220,"Buratino tahtis kohe rändama minna, kuid Malviina ütles, et kõigepealt peab puhkama ja magama.",tahtma,minema,kl8,Buratino tahtis minna ütles .
19253,Kas sa tahaksid sinna minna?,tahtma,minema,kl8,Kas sa tahaksid minna ?
19332,Kas sa tahaksid mängida?,tahtma,mängima,kl8,Kas sa tahaksid mängida ?
19440,Me mõtlesime sõita Läänemaale Noarootsi.,mõtlema,sõitma,kl8,Me mõtlesime sõita .
19464,Kuhu Kaido lootis perega matkata?,lootma,matkama,kl8,Kuhu Kaido lootis matkata ?
19488,"Oota, oota, Maria, teised tahavad ka rääkida.",tahtma,rääkima,kl8,", teised tahavad rääkida"
19490,"Ants, kuhu sina sooviksid minna?",soovima,minema,kl8,", kuhu sina sooviksid minna"
19507,"Ma tahaksin näha oma ema nägu, kui ma ütleksin talle, et sõidame klassiga ekskursioonile kolmeks nädalaks!",tahtma,nägema,kl8,Ma tahaksin näha ütleksin !
19511,"Teeme nii, et ma saadan teile lingi pealkirjaga Klassiekskursioon, sinna saab igaüks kirjutada ja hääletada, kes kuhu ja kui kauaks soovib minna.",soovima,minema,kl8,", kes kuhu ja kauaks soovib minna"
19516,Kui pikaks ajaks otsustas klass reisile sõita?,otsustama,sõitma,kl8,Kui ajaks otsustas sõita ?
19517,Kuhu Maria tahtis sõita?,tahtma,sõitma,kl8,Kuhu Maria tahtis sõita ?
19518,Antsul oli ja kui pikaks ajaks ta tahtis rändama minna?,tahtma,minema,kl8,ja kui ajaks ta tahtis minna
19520,"Kas Kaur tahtis päriselt sõita kloostrisse, mõisasse, lossi ja linnusesse või ta narris Pauli?",tahtma,sõitma,kl8,Kas Kaur tahtis sõita narris ?
19539,Ma ei viitsiks sinna minna.,viitsima,minema,kl8,Ma ei viitsiks minna .
19548,Ma olen sinna juba ammu tahtnud minna.,tahtma,minema,kl8,Ma olen sinna ammu tahtnud minna .
19684,"Aga mis on sinul kõige vahvam reis olnud, kuhu sa tahaksid tagasi minna ning kuhu sa tahaksid veel kindlasti minna?",tahtma,minema,kl8,", kuhu sa tahaksid minna tahaksid"
19684,"Aga mis on sinul kõige vahvam reis olnud, kuhu sa tahaksid tagasi minna ning kuhu sa tahaksid veel kindlasti minna?",tahtma,minema,kl8,ning kuhu sa tahaksid minna
19685,"Ma arvan, et ma tahaksin veel kord Itaaliasse minna.",tahtma,minema,kl8,", et ma tahaksin minna"
